productCode,productName,oldCategory,oldType,productCategory,productType
614026533Walmart,"Sam's Choice Italia Basil Pesto, 190g",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
728061183Walmart,Kellogg's PopTarts Bites Frosted Brown Sugar Cinnamon 141 Oz,pantry,other,pantry,miscellaneous snacks
757195965Walmart,"Lucky Leaf Organic Fruit Filling Cherry, 210 OZ",pantry,other,pantry,canned & preserved goods
845505994Walmart,"Lucky Leaf Organic Fruit Filling Blueberry, 210 OZ",pantry,other,pantry,canned & preserved goods
992867560Walmart,"Lucky Leaf Organic Fruit Filling Apple, 210 OZ",pantry,other,pantry,canned & preserved goods
GC13513pantry,"Libby's Whole Kernel Sweet Corn, 15 Oz, 4 Cans",pantry,other,pantry,canned & preserved goods
GC24910pantry,"Campbell's Condensed Tomato Soup, 1075 oz Cans 4 pack",pantry,other,pantry,canned & preserved goods
GC25006pantry,"Campbell's Condensed Chicken Noodle Soup, 1075 oz Cans Pack of 4",pantry,other,pantry,canned & preserved goods
GC26978pantry,"McCormick Gourmet Organic Marjoram Leaves, 037 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
GC773pantry,"Annie's Shells and White Cheddar Macaroni Cheese Natural, 6 oz",pantry,other,pantry,"rice, pasta, beans & grain"
